iter,metric,z
0,42.47883276372417,[-2.4584920406341553]
1,47.09185905194275,[0.8338862657546997]
2,47.09185905194275,[1.7417868375778198]
3,47.14124786004825,[-0.026550114154815674]
4,47.1349312749864,[-1.132866382598877]
5,47.09185905194275,[2.8861888647079468]
6,47.09220341922481,[0.44241392612457275]
7,45.371037174012315,[-2.099246084690094]
8,47.14805155569404,[-1.5657328360026765]
9,47.09185905194275,[2.323373752240365]
10,47.111423412822774,[-0.5925370203161165]
11,47.09185905194275,[1.3259371547665189]
12,47.09185905194275,[2.633754310748515]
13,47.09185905194275,[3.0]
14,47.133455149594454,[-0.3080437646815405]
15,47.151429199945134,[-1.451885228892895]
16,47.12289615964225,[-0.8334184920824134]
17,47.09185905194275,[2.043379153099272]
